Rank,movie_title,Adjusted_Lifetime_Gross,Lifetime_Gross,Tickets_Sold,original_release_date,movie_title.1,content_rating,genres,original_release_date.1,tomatometer_status,tomatometer_rating,audience_status,audience_rating
505,MISSION: IMPOSSIBLE - ROGUE NATION,221374683,195042377,23625900,2015,MISSION: IMPOSSIBLE ROGUE NATION,PG-13,Action & Adventure,2015,Certified-Fresh,93,Upright,87
511,WHEN HARRY MET SALLY...,219333897,93117425,23408100,1989,WHEN HARRY MET SALLY,R,"Comedy, Drama, Romance",1989,Certified-Fresh,91,Upright,89
517,LARA CROFT: TOMB RAIDER,217146002,131168070,23174600,2001,LARA CROFT - TOMB RAIDER,PG-13,"Action & Adventure, Science Fiction & Fantasy",2001,Rotten,20,Spilled,47
523,DIE HARD WITH A VENGEANCE,215429418,100012499,22991400,1995,DIE HARD: WITH A VENGEANCE,R,"Action & Adventure, Mystery & Suspense",1995,Rotten,59,Upright,83
525,SE7EN,215145507,100125643,22961100,1995,SPECIES,R,Science Fiction & Fantasy,1995,Rotten,43,Spilled,31
537,STAR TREK III: THE SEARCH FOR SPOCK,213253704,76471046,22759200,1984,STAR TREK III - THE SEARCH FOR SPOCK,PG,"Action & Adventure, Science Fiction & Fantasy",1984,Certified-Fresh,79,Upright,61
541,"CROUCHING TIGER, HIDDEN DRAGON",212772086,128078872,22707800,2000,"CROUCHING TIGER, HIDDEN DRAGON",PG-13,"Action & Adventure, Art House & International, Drama, Romance",2001,Certified-Fresh,97,Upright,86
556,MEN IN BLACK 3,207198810,179020854,22113000,2012,MEN IN BLACK III,PG-13,"Action & Adventure, Comedy, Science Fiction & Fantasy",2012,Fresh,68,Upright,70
577,TRON: LEGACY,202601888,172062763,21622400,2010,TRON LEGACY,PG,"Action & Adventure, Science Fiction & Fantasy",2010,Rotten,51,Upright,63
580,HORTON HEARS A WHO!,201663014,154529439,21522200,2008,DR. SEUSS' HORTON HEARS A WHO!,G,"Action & Adventure, Animation, Kids & Family",2008,Certified-Fresh,79,Upright,73
584,COCOON,200895611,76113124,21440300,1985,COMMANDO,R,Action & Adventure,1985,Fresh,71,Upright,67
595,REVENGE OF THE PINK PANTHER,198528749,49579269,21187700,1978,THE REVENGE OF THE PINK PANTHER,PG,"Comedy, Mystery & Suspense",1978,Fresh,78,Upright,70
611,"THE GOOD, THE BAD AND THE UGLY",195989479,25100000,20916700,1967,"THE GOOD, THE BAD AND THE UGLY",R,Western,1966,Certified-Fresh,97,Upright,97
622,THE NAKED GUN 2½: THE SMELL OF FEAR,193477382,86930411,20648600,1991,THE NAKED GUN 2 1/2: THE SMELL OF FEAR,PG-13,Comedy,1991,Rotten,56,Upright,65
635,LAST TANGO IN PARIS,191338211,36144000,20420300,1973,LAST TANGO IN PARIS,R,"Art House & International, Drama, Romance",1972,Certified-Fresh,83,Upright,76
671,DRACULA,186322450,82522790,19885000,1992,DRACULA,R,"Art House & International, Drama, Horror, Romance",1979,Rotten,59,Spilled,58
674,GRAN TORINO,186105066,148095302,19861800,2008,GRAN TORINO,R,Drama,2009,Certified-Fresh,81,Upright,90
684,BORAT,183593906,128505958,19593800,2006,BLOODRAYNE,R,"Action & Adventure, Horror, Science Fiction & Fantasy",2006,Rotten,4,Spilled,17
